Variable,log2(FC),p-value,q-value,-log10(q-value),Mean
Ncf4,1.8683333333333332,0.008645596491370724,0.015099351618731967,1.8210417013460778,7.869166666666666
Itgal,1.671666666666666,0.0013263229186458506,0.00502788636750351,2.2986145461260663,6.930833333333333
Ptpn2,1.6416666666666675,0.0028524949804369145,0.007117469799983694,2.147674366924704,7.305833333333332
Il17ra,1.5650000000000004,0.0006845899259629752,0.0031440426229410712,2.5025115749791196,7.5275
Prkcd,1.4850000000000003,0.00029785520421593174,0.0017134009036407474,2.766141008389948,7.927500000000001
Cd274,1.463333333333333,0.010231763291674516,0.016693929581153157,1.7774414227852442,8.051666666666668
Ccl9,1.3966666666666674,0.00939241715754225,0.01595424284294848,1.7971238017451232,7.458333333333332
Xbp1,1.3800000000000008,2.3727056403278744e-05,0.0003430350046559741,3.464661560559996,8.950000000000001
Ifnar1,1.3249999999999975,0.027569068982157954,0.036023606291935066,1.443412812496779,7.9975
Nfil3,1.288333333333333,0.011688009113876652,0.018216670592234405,1.7395309948464446,6.079166666666667
Cd164,1.251666666666667,0.005098223237751441,0.010530534283739425,1.977549593620465,9.500833333333334
Stat6,1.2333333333333334,0.007515876867590718,0.013705422523253664,1.8631075710920881,7.786666666666666
Ccrl2,1.2133333333333338,0.20131848533110036,0.22288832304514683,0.6519126832913864,6.916666666666665
Tgfbi,1.1933333333333334,0.03153769990771631,0.04073619571413357,1.390019531484705,6.806666666666666
Tgfb1,1.166666666666666,0.05883281826534552,0.07223039074161232,1.1412800357493293,8.863333333333333
Litaf,1.163333333333333,0.008195499231882588,0.014517741496477726,1.8381009409298819,7.691666666666667
Mapkapk2,1.0716666666666663,0.0032801775496441366,0.007674377663318357,2.1149568325732777,6.980833333333334
Irak2,0.9816666666666674,0.004029076159047601,0.008765007784594782,2.057247693853694,6.815833333333334
Spn,0.9416666666666682,0.12580981112368858,0.14182196890306714,0.8482564896440234,6.835833333333333
Irak3,0.9349999999999996,0.00784143274647622,0.014091850153087702,1.8510319835743279,6.522500000000001
Cd82,0.8700000000000001,0.009058465743253698,0.015600691002270257,1.8068561649899795,7.695
Cd81,0.826666666666668,0.011752690704667357,0.018216670592234405,1.7395309948464446,8.533333333333333
Ikbke,0.7799999999999994,0.02716439678944667,0.036023606291935066,1.443412812496779,6.510000000000001
Cd44,0.6666666666666679,0.03772654201556267,0.047735624591120115,1.3211573905872465,8.013333333333334
Mapk1,0.6599999999999993,0.020656277559677846,0.028147015575824757,1.5505676465555194,8.04
